_New;New
FileSizeBytesBetweenParentheses;File size (bytes)
Tasks;Tasks
TemporaryParameter;Temporary {0}
HasErrors;Has errors
Jobs;Jobs
TruncateTableAndDependencies;TRUNCATE TABLE and dependencies
UseTableRow;Use TABLE ROW
Variables;Variables
Show;Show
Web;Web
ParenthesesNoneSelected;(None selected)
OpenWindowsTaskScheduler;Open Windows Task Scheduler
OpenProject;Open project
OpenElipsis;Open...
AttributesColon;Attributes:
ChangeType;Change type
JobsFolderColon;Jobs folder:
Code;Code
SmtpAccount;SMTP account
Details;Details
ExecuteMainProcedure;Execute main procedure
DeleteEnvironment;Delete environment
ProjectEnvironment;Project environment
EndTimeColon;End time:
StartTimeColon;Start Time:
Implementation;Implementation
ImplementMainProcedure;Implement main procedure
ImplementMainProcedureAndExecute;Implement main procedure and execute
Bottom;Bottom
Instruction;Instruction
CheckBoxesOfButtonsYouWantToUseInProject;Check the boxes of those buttons you want to use in your project
EditEnvironment;Edit environment
NavigateBackwards;Navigate backwards
NavigateForward;Navigate forward
ItIsNotPossibleRepresentDiagramOfThisTypeOfQuery;It is not possible to represent the diagram of this type of query
NewSqlAction;New SQL action
NewProject;New project
NewEtlProject;New ETL project
ProcedureColon;Procedure:
Processes;Processes
ComponentPropertiesColon;Component roperties:
Project;Project
RecentProjects;Recent projects
UrlPathOfThePageColon;URL path of the page:
EnvironmentSubstitutionsColon;Environment substitutions:
Text;Text
Components;Components
DeleteTableAndDependences;DELETE TABLE and dependences
DropTableAndDependences;DROP TABLE and dependences
ThereAreColumnsThatUseQueryFieldsThatHaveBeenDeletedAskWantDeleteTheseColumns;There are columns that use query fields that have been deleted.|Do you want to delete these columns?||{0}
TheFollowingPropertiesWillBeLostAskChangeToParameterLineBreakParameter;The following properties will be lost.|Change to {0}?||{1}
TheNameOfTheUpdateDateColumnIsNotValid;The name of the update date column is not valid.
TheNameOfTheDeleteDateColumnIsNotValid;The name of the delete date column is not valid.
TheNameOfTheInsertDateColumnIsNotValid;The name of the insert date column is not valid.
AuditFields;Audit fields
UpdateDateColon;Update date:
DeletionDateColon;Deletion date:
InsertionDateColon;Insertion date:
EtlOptions;ETL options
TheFolderParameterBetweenQuotesDoesNotExist;The folder '{0}' does not exist.
Environments;Environments
NewEnvironment;New environment
TheFileNoLongerExists;The file no longer exists.
ThisFileTypeCannotBeEditedWithCronoEtl;This file type cannot be edited with Crono ETL.
LimitResultsCountToColon;Limit results count to:
AllowSavingFilesWithSyntaxErrors;Allow saving files with syntax errors.
EnvironmentProperties;Environment properties
CopyFolderPath;Copy folder path
ANameForThisEnvironmentMustBeEstablished;A name for this environment must be established.
DuplicateEnvironment;Duplicate environment
CloseAllButThis;Close all but this
CannotCreateNewProjectInSelectedPathBecauseAlreadyContainsProjectOrItIsInsideAnotherProject;Cannot create a new project in the selected path because It already contains a project or it is inside another project
NoProjectExistsInTheSelectedPathAskCreateItNow;No project exists in the selected path. Create it now?
CopyFileFullPath;Copy file full path
CopyFileName;Copy file name
OpenFileLocation;Open file location
TheFileParameterBetweenQuotesHasBeenModifiedFromAnotherApplicationAskWantReloadFile;The file '{0}' has been modified from another application. Do you want to reload the file?
ReloadFromDisc;Reload from disc
AskEnsureWantReloadFileAndLoseChanges;Are you sure you want to reload the file and lose changes?
YoMustSaveChangesBeforeSettingThisFileOnReadonlyMode;You must save changes before setting this file on read-only mode.
TheFileParameterBetweenQuotesContainsSyntaxErrors;The file '{0}' contains syntax errors.
AskEnsureWantSaveItWithErrors;Are you sure you want to save it with errors?
ItIsNotPossibleToSaveTheFileParameterBetweenQuotesBecauseItContainsSyntaxErrorsCheckCodeAndTryItAgain;It is not possible to save the file '{0}' because it contains syntax errors. Check the code and try it again.
YouCanChangeThisSettingFromTheProjectProperties;You can change this setting from the project properties.
ProjectProperties;Project properties
OneRow;1 row
OneColumn;1 column
AnErrorOccurredDuringQueryExecution;An error occurred during query execution.
QueryExecutedSuccessfullyAt;Query executed successfully at
ThereWasAProblemGettingTheDataFromParameter;There was a problem getting the data from||{0}
CouldNotReadOrAddTheXmlSchemaOfTheTable;Could not read or add the XML schema of the table.||{0}
LoadingCronoBindings;Loading crono bindings
TheFilePropertyMustBeSpecified;The 'File' property must be specified
TheOutputPropertyMustBeSpecified;The 'Output' property must be specified
UnexpectedErrorTheCatalogOfTheQueryHasNotBeenLocated;Unexpected error. The catalog of the query has not been located.
ItIsNotPosibleToEditThisQuery;It is not possible to edit this query.
CouldNotLocateTheMappingParameter;Could not locate the mapping {0}
CouldNotReestablishTheFilterThatThereWasInTheCoulumnParameter;Could not reestablish the filter that there was in the column {0}
CannotEditTheCurrentTableBecauseItWasNotGeneratedWithCronoExcel;The current table cannot be edited because it was not generated with Crono Excel
WorkbookProperties;Workbook properties
Loads;Loads
SourceTableNameColon;Source table name:
DestinationTableName;Destination table name:
PreprocessCodeColon;Preproccess code:
PostprocessCodeColon;Postprocess code:
CouldNotFindTableParameterBetweenQuotesInThisWorkbook;Could not find table '{0}' in this workbook.
ThereIsAProblemWithThePreprocessCode;There is a problem with the preprocess code.
ThereIsAProblemWithThePostprocessCode;There is a problem with the postprocess code.
TimeTableUsageInformation;The configuration of the time table is used to calculate TD, YTD, QTD and MTD values. Once the time table is defined, the functions td(), ytd(), qtd() and mtd() can be used in the catalog.||This functionality requires that the database support the ANSI syntax (including the WITH clause and the OVER window functions).
GeographicalDimensionsUsageInformation;Geographical dimensions allow to create map type graphics. There are three types of maps that can be represented: Bubble, pie, or colored regions.||The latitude and longitude of each dimension value will be used to make the geographic graphs of bubble type and pie type. The custom map is used to identify the shapes of each region in the colored maps.
TimeTableFieldsOrderUsageInformation;Select and sort the relevant fields for time ordering (Example: Year, semester, quarter, num_month, date, day).|This information will be used to calculate the temporary accumulations (TD, YTD, QTD, MTD).
AskWantToCheckTheseParameterJoinsLastVerificationDateColonParameterLastVerificationTimeColonParameterSeconds;Do you want to verify these {0} joins?|Last verification date: {1}|Last verification time: {2} seconds
CalculatingDataTypeOfTheBusinessItemsThisActionOnlyNecessaryOncePerCatalog;Calculating data type of the business items.|This action is only necessary once per catalog.
TheCurrentDiagramIsAlreadyUsingTheTableParameterBetweenQuotesAskWantChooseNewAliasForTableParameterBetweenQuotes;The current diagram is already using the table '{0}'.||Do you want to choose a new alias for the table '{1}'?
TheFollowingTablesAreOutdatedColonParameter;The following tables are outdated:|{0}
ProblemCheckingParameterParameter;Problem checking {0}|{1}|
ParameterBetweenQuotesSuccessfullyVerified;'{0}' successfully verified
AskWantToUpdateThem;Do you want to update them?
AskEnsureWantDeleteThisStarColonParameterBetweenQuotes;Are you sure you want to delete this star: '{0}'?
UpdateTables;Update tables
SomeBusinessItemIsNotValidUseFunctionalityVerifyBusinessItemsToLearnMoreDetails;Some business item is not valid. Use the functionality verify business items to learn more details.
SomeNestedObjectContainsErrors;Some nested object contains errors
SomeJoinHasVerificationProblems;Some joins has verification problems.
_Alias;Alias
ChangeTheAliasOfThisTable;Change the alias of this table
ChangeItemType;Change item type
Fields;Fields
ImportedFields;Imported fields
CountValues;Count values
ConvertToIndicator;Convert to indicator
ConvertIntoIndicators;Convert to indicators
Coordinates;Coordinates
CreateSnowflake;Create snowflake
CreateSnowflakeParenthesesWithAlias;Create snowflake (with alias)
DataProfile;Data profile
YouMustSpecifyANameForThisFolder;You must specify a name for this folder.
YouMustSelectAtLeastOneFieldFromTheTwoTablesInOrderToGenerateTheJoin;You must select at least 1 field from the two tables to generate the join
YouMustSelectTheMapFieldByWhichItLinksToTheDimension;You must select the map field by which it links to the dimension
YouMustSelectAnImportedField;You must select an imported field
DuplicateItem;Duplicate Item
FormulaEditor;Formula editor
TheFieldParameterDoesNotExistInTheDatabase;The field {0} does not exist in the database
TheFieldUsedByTheBusinessItemParameterBetweenQuotesIsNotImported;The field used by the business item '{0}' is not imported
TheBusinessItemParameterBetweenQuotesHasARepeatedGuid;The business item '{0}' has a repeated guid
TheBusinessItemNameParameterBetweenQuotesIsNotValid;The business item name '{0}' is not valid
DeleteJoin;Delete join
InTheDefinitionOfBusinessItemParameterBetweenQuotesParameterNotDefinedParametersAreBeingUsed;In the definition of the business element '{0}', parameters that have not been defined are being used.
ThisJoinHasNotBeenVerified;This join has not been verified
FilterTables;Filter tables
ThereIsSomeErrorInTheJoinDefinition;There is some error in the join definition
ImportTable;Import table
ImportTableParenthesesWithAlias;Import table (with alias)
TheWhereClauseCannotBeEmpty;The where clause cannot be empty.
TheDefinitionOfTheBusinessItemParameterBetweenQuotesContainsErrors;The definition of the Business item '{0}' contains errors
TheTableStructureDoesNotCorrespondWithTheOneAtTheDatabase;The table structure does not correspond with the one at the database
TheExpressionMustBeAFilter;The expression must be a filter
TheSelectionMustBeADatabaseTable;The selection must be a database table
TheGeographicSqlIsBadDefined;The geographic sql is bad defined
TheTableParameterBetweenQuotesIsNotFoundInAnyDiagram;The table '{0}' is not found in any diagram.
TheTableHasTheCorrectStructure;The table has the correct structure.
TheDocumentationUrlDoesNotHaveValidFormat;The documentation url does not have a valid format
CouldNotUpdateTheFollowingTables;Could not updated the following tables: {0}
LocateTableInDiagram;Locate table in diagram
TheCurrentFieldsDoNotMatchThoseInTheDatabaseAskWantReloadThem;The current fields do not match those in the database, do you want to reload them?
TheBusinessItemsHaveBeenCheckedSuccessfully;The business items have been verified successfully
ShowError;Show error
ItHasNotBeenPossibleAccessSampleCatalogsCheckInternetConnectionIfProblemPersistsContactUsAtEmail;It has not been possible to access the sample catalogs, check your internet connection, if the problem persists contact us at info@crono.net
ACatalogHasNotBeenSetToTheEditor;A catalog has not been set to the editor
CustomMapAttributeHasNotBeenConfigured;Custom map attribute has not been configured
TheFieldWithTheMapIdHasNotBeenConfigured;The field with the map id has not been configured
NoTableNamedParameterBetweenQuotesHasBeenFoundInTheDatabase;No table named '{0}' has been found in the database
CouldNotOpenCatalogParameterBetweenQuotes;Could not open catalog ""{0}""
CouldNotConnectToTheDatabase;Could not connect to the database.
CouldNotRelateAnyTableWithThisBusinessItem;Could not relate any table with this business element.
NoChangesDetectedInTableParameterBetweenQuotes;No changes detected in table '{0}'
CouldNotLoadTheMapFiles;Could not load the map files
CannotChangeItemTypeWhenFoldersAndBusinessITemsHaveBeenSelectedAtTheSameTime;Cannot change the item type when folders and business items have been selected at the same time.
CannotLoadTheDbfMapFile;Cannot load the .dbf map file
CannotLoadTheShpMapFile;Cannot load the .shp map file
CannotCheckTheInformationOfTheTableParameterBetweenParenthesesBecauseItWasNotPossibleToAccessDatabase;Cannot check the information of the table '{0}' because it was not possible to access the database
CannotCreateThisJoinsBecausePathFromParameterToPArameterAlreadyExistsAndCircularJoinWouldBeCreated;Cannot create this join because a path from '{0}' to '{1}' already exists and a circular join would be created.
ObjectNameInParameter;Object name in {0}
NewAlias;New alias
NewAliasColon;New alias:
NewCatalog;New catalog
NewSnowflake;New snowflake
SortBy;Sort by
OrderByNotLocalized;Order by
InOrderToCalculateJoinAutomaticallyIsNecessarySelectSameNumberOfFieldsInTheTwoTables;In order to calculate the join automatically it is necessary to select the same number of fields in the two tables.
CatalogProperties;Catalog properties
JoinProperties;Join properties
TableProperties;Table properties
RecalculateDefaultFormat;Recalculate default format
TheStructureOfTheTableParameterBetweenParenthesesHasBeenUpdated;The structure of the table '{0}' has been updated
ErrorsHaveBeenFoundInSomeBusinessItems;Errors have been found in some business items
SelectField;Select field
SelectTheFactTableOfTheNewSnowflake;Select the fact table of the new snowflake.
CustomSql;Custom SQL
FactTable;Fact table
ImportedTables;Imported tables
ItemType;Item type
AllJoinsHaveBeenVerifiedCorrectly;All joins have been verified correctly.
AllTablesAreUpdated;All tables are updated.
AllTablesHaveBeenUpdatedSuccessfully;All tables have been updated successfully.
AllVerifiedCorrectly;Everything checked correctly
ShowValuesParenthesesOnlyHundredRows;Show values ​​(only 1000 rows)
Verifications;Verifications
VerifyParameter;Check {0}
CheckItems;Check items
AnImportedTableWithAliasParameterBetweenQuotesAlreadyExists;An imported table with alias '{0}' already exists
OpenCatalog;Open catalog
OpenConfiguration;Open configuration.
DefaultAggregationColon;Default Aggregation:
AddWhereClause;Add Where Clause
AliasColon;Alias:
MapAttributeColon;Map attribute:
KeyAttributeColon;Key attribute:
ConnectionString;Connection string
CalculateWhereClauseAutomatically;Calculate where clause automatically
YearFieldColon;Year field:
SortingFieldColon;Sorting field:
IdFieldForMapColon;Id field for map:
LatitudeFieldColon;Latitude field:
FieldLongitudeColon;Field longitude:
MonthFieldColon;Month field:
QuarterFieldColon;Quarter Field:
TableFieldsColon;Table fields:
SortFieldsColon;Sort fields:
EquivalentFields;Equivalent fields
RecentCatalogs;Recent catalogs
ConnectedToTheDatabase;Connected to the database
Snowflakes;Snowflakes
SnowflakesColon;Snowflakes:
CreateNewCatalog;Create new catalog
DisconnectedFromTheDatabase;Disconnected from the database
SqlDialectColon;SQL dialect:
GeographicDimension;Geographic dimension
DocumentationUrlBetweenParenthesesColon;Documentation (URL):
ExampleColonFilterPatterns;Example: dbo.dim_*,dbo.fac_*,!*Tmp*
TheItemTypeIsVisualAidToInformNatureOfDimensionOrIndicatorItDoesNotAffectGeneratedQueriesOrDataType;The item type is a visual aid to inform the nature of the dimension or indicator. It does not affect the generated queries or the data type.
BusinessItems;Business items
BusinessItemsColon;Business items:
IsGeographicalDimension;Is geographical dimension
IsTimeTable;Is time table.
ThisJoinMustNotBeVerified;This join must not be verified.
ThisDocumentIsNotConfiguredForItsPublication;This document is not configured for its publication.
AvoidIncludingTheSameTableSeveralTimesInTheSameDiagramColon;Avoid including the same table several times in the same diagram:
LastPublicationDateColon;Last publication date:
FilterOfVisibleTablesColon;Filter of visible tables:
FilterForTheListOfValues;Filter for the list of values:
ConditionalFormating;Conditional formating
HyperlinkColon;Hyperlink:
IdOfMap;Id of Map
CatalogLanguageColon;Catalog language:
FirstLanguageColon;First language:
Languages;Languages
SecondaryLanguagesColon;Secondary languages:
AdditionalInformation;Additional information
Latitude;Latitude
Length;Longitude
CustomMapColon;Custom Map:
HyperlinkModeColon;Hyperlink mode:
ShowHundred;Show 1000
ShowAll;Show all
ComputerNameColon;Computer name:
NumberOfRecordsColon;Number of records:
SortListOfValuesByFieldColon;Sort list of values ​​by field:
AllowListsOfValuesOfThisBusinessItem;Allow lists of values ​​of this business item.
TestCatalog;Test catalog
Publication;Publication
PublishCatalog;Publish catalog
References;References
Joins;Joins
JoinsColon;Joins:
TheDocumentMustBeSavedBeforePublishing;The document must be saved before publishing.
TableOneParenthesesDetailTable;Table 1 (detail table)
TableTwoParenthesesDimensionTable;Table 2 (dimension table)
DetailTableColon;Detail table:
TimeTable;Time table
TableColon;Table:
AdditionalTablesColon;Additional tables:
TablesColon;Tables:
ElementTypeColon;Item Type:
DefaultColumnFilterTypeColon;Default column filter type:
LocationColon;Location:
LastPublication;Last publication
LastVerification;Last verification
UseSampleCatalog;Use sample catalog
WindowsUserColon;Windows user:
Verification;Verification
CheckCurrent;Check current
CheckNow;Check now
CheckFields;Check fields
CheckAllTablesStructures;Check all tables structures
CheckAll;Check everything
UpdateStructureFromDatabase;Update structure from database
VerifyStructureFromDatabase;Verify structure from database
GroupAndSort;Group and sort
Data;Data
ConvertIntoKey;Convert into key
ToolBox;Tool box
ReportExplorer;Report explorer
TheFollowingQueriesNeedAKeySinceContainSubQueries;The following queries need a key since they contain sub queries:||{0}
CannotBeQueriesWithSameName;Cannot be queries with the same name:||{0}
NoActionHasBeenImplementedForNodeOfTypeParameterBetweenQuotes;No action has been implemented for node of type '{0}'
RemoveKey;Remove key
WindowOfParameter;{0} window
OpenReport;Open report
HighColon;High:
WidthColon;Width:
SubjectColon;Subject:
ExportFolderColon;Export folder:
PageConfig;Page config
RightColon;Right:
SendByEmail;Send by email
PdfExport;PDF export
ExportInTheTemporaryFolder;Export in the temporary folder
Horizontal;Horizontal
BottomColon;Bottom:
RecentReports;Recent reports
LeftColon;Left:
Margins;Margins
DisplayReport;Show report
DocumentNameColon;Document name:
OrientationColon;Orientation:
KeywordsColon;Keywords:
TopColon;Top:
KindOfPaperColon;Kind of paper:
Vertical;Vertical
AskEnsureWantMoveSheetToThisNewPosition;Are you sure you want to move the sheet to this new position?
DeletedFileParameterBetweenAccents;Deleted file `{0}`
CreatedFileParameterBetweenAccents;Created file `{0}`
EditedFileParameterBetweenAccents;Edited file `{0}`
GitHubToken;GitHub token
YouCanGenerateATokenToInteractWithGitHubFrom;You can generate a token to interact with GitHub from
BranchColon;Branch:
RepositoryColon;Repository:
OwnerColon;Owner:
IconParentheses32x32Colon;Icon (32x32):
TheGitHubTokenMustBeSpecified;The GitHub token must be specified
TheCredentialsAreCorrectTheUserAssociatedToThisAccountIsColonParameter;The credentials are correct. The user associated to this account is: {0}
ShowData;Show data
LoadsToDatabase;Loads to database
ShowLoadsButton;Show loads button
DefaultConnectionForLoadsColon;Default connection for loads:
DefaultCatalogColon;Default catalog:
ShowXmlDefinition;Show XML definition
TheSourceTableAndDestinationTableFieldsMustBeFilledBothOrEmptyBoth;The source table and destination table fields must be filled in both or leave empty both
Catalan;Catalan
French;French
German;German
Portuguese;Portuges
ExecuteLoads;Execute loads
TheCredentialsAreNotCorrectColonParameter;The credentials are not correct: {0}
UpdateAll;Update all
UpdateQuery;Update query
StartDateColon;Start date:
